Dashboard,డాష్‌బోర్డ్
POS,అమ్మకాల కేంద్రం
Reports,నివేదికలు
Masters,మాస్టర్లు
Settings,సెట్టింగులు
Logout,లాగ్ అవుట్
Back,వెనుకకు
My Sales,నా అమ్మకాలు
Mobile Store,మొబైల్ స్టోర్
New Sale,కొత్త అమ్మకం
Open Bills,తెరిచిన బిల్లులు
Customers,వినియోగదారులు
Items,వస్తువులు
Item Groups,వస్తు సమూహాలు
Tax Templates,పన్ను నమూనాలు
Companies,కంపెనీలు
Users,వాడుకదారులు
Start Billing,బిల్లింగ్ ప్రారంభించండి
Quick Actions,త్వరిత చర్యలు
Today’s Sales,నేటి అమ్మకాలు
Today's Sales,నేటి అమ్మకాలు
Today’s Bills,నేటి బిల్లులు
Today's Bills,నేటి బిల్లులు
Items Sold,అమ్మిన వస్తువులు
Sales Trend,అమ్మకాల ధోరణి
Recent Sales,ఇటీవలి అమ్మకాలు
Top Products,అగ్ర ఉత్పత్తులు
View All →,అన్నీ చూడండి →
Bill No,బిల్లు సంఖ్య
Customer,వినియోగదారు
Amount,మొత్తం
Time,సమయం
Item,వస్తువు
Sold,అమ్మినవి
Revenue,ఆదాయం
No sales today,ఈ రోజు అమ్మకాలు లేవు
No sales this month,ఈ నెల అమ్మకాలు లేవు
Search items by name / scan barcode,పేరుతో వస్తువులను వెతకండి / బార్‌కోడ్ స్కాన్ చేయండి
Current Bill,ప్రస్తుత బిల్లు
Payment Options,చెల్లింపు ఎంపికలు
Payment Method,చెల్లింపు విధానం
Cash,నగదు
Card,కార్డు
UPI,యూపీఐ
Discount,తగ్గింపు
Tax,పన్ను
Grand Total,మొత్తం
Generate Bill,బిల్లు రూపొందించండి
Proceed to Pay,చెల్లింపుకు వెళ్లండి
Pay Now,ఇప్పుడే చెల్లించండి
Bill Generated Successfully!,బిల్లు విజయవంతంగా రూపొందించబడింది!
Print Bill,బిల్లు ముద్రించండి
Download PDF,పీడీఎఫ్ డౌన్‌లోడ్ చేయండి
Share Bill,బిల్లు పంచుకోండి
Search,వెతకండి
Edit,సవరించండి
Delete,తొలగించండి
Save,సేవ్ చేయండి
Cancel,రద్దు చేయండి
Actions,చర్యలు
No records found,రికార్డులు కనుగొనబడలేదు
Application Language,అప్లికేషన్ భాష
Company Name,కంపెనీ పేరు
Default Currency,డిఫాల్ట్ కరెన్సీ
Country,దేశం
