Dashboard,डैशबोर्ड
POS,बिक्री केंद्र
Reports,रिपोर्ट
Masters,मास्टर
Settings,सेटिंग्स
Logout,लॉग आउट
Back,वापस
My Sales,मेरी बिक्री
Mobile Store,मोबाइल स्टोर
New Sale,नई बिक्री
Open Bills,खुले बिल
Customers,ग्राहक
Items,वस्तुएँ
Item Groups,वस्तु समूह
Tax Templates,कर टेम्पलेट
Companies,कंपनियाँ
Users,उपयोगकर्ता
Start Billing,बिलिंग शुरू करें
Quick Actions,त्वरित कार्य
Today’s Sales,आज की बिक्री
Today's Sales,आज की बिक्री
Today’s Bills,आज के बिल
Today's Bills,आज के बिल
Items Sold,बेची गई वस्तुएँ
Sales Trend,बिक्री रुझान
Recent Sales,हाल की बिक्री
Top Products,शीर्ष उत्पाद
View All →,सभी देखें →
Bill No,बिल संख्या
Customer,ग्राहक
Amount,राशि
Time,समय
Item,वस्तु
Sold,बिक्री
Revenue,आय
No sales today,आज कोई बिक्री नहीं
No sales this month,इस महीने कोई बिक्री नहीं
Search items by name / scan barcode,नाम से वस्तु खोजें / बारकोड स्कैन करें
Current Bill,वर्तमान बिल
Payment Options,भुगतान विकल्प
Payment Method,भुगतान विधि
Cash,नकद
Card,कार्ड
UPI,यूपीआई
Discount,छूट
Tax,कर
Grand Total,कुल योग
Generate Bill,बिल बनाएँ
Proceed to Pay,भुगतान करें
Pay Now,अभी भुगतान करें
Bill Generated Successfully!,बिल सफलतापूर्वक बन गया!
Print Bill,बिल प्रिंट करें
Download PDF,पीडीएफ डाउनलोड करें
Share Bill,बिल साझा करें
Search,खोजें
Edit,संपादित करें
Delete,हटाएँ
Save,सहेजें
Cancel,रद्द करें
Actions,कार्य
No records found,कोई रिकॉर्ड नहीं मिला
Application Language,एप्लिकेशन भाषा
Company Name,कंपनी का नाम
Default Currency,डिफ़ॉल्ट मुद्रा
Country,देश
